wavelength_nm,scattering,extinction,absorption
450.000000,3.5425209497e-01,7.5165162096e+01,7.4810910001e+01
460.000000,3.2718114268e-01,7.5649116497e+01,7.5321935355e+01
470.000000,3.0449204594e-01,7.6907311127e+01,7.6602819081e+01
480.000000,2.9480205827e-01,8.0630262507e+01,8.0335460449e+01
490.000000,3.0642024319e-01,8.7364891180e+01,8.7058470937e+01
500.000000,3.5199318025e-01,9.6091176581e+01,9.5739183401e+01
510.000000,4.3052791959e-01,1.0034304868e+02,9.9912520761e+01
520.000000,4.8799163775e-01,8.9709511047e+01,8.9221519409e+01
530.000000,4.6907377823e-01,6.8467589496e+01,6.7998515718e+01
540.000000,4.0889091179e-01,4.9574794801e+01,4.9165903889e+01
550.000000,3.4859378918e-01,3.6113010005e+01,3.5764416216e+01
560.000000,2.9953881138e-01,2.6444702034e+01,2.6145163222e+01
570.000000,2.5933625544e-01,1.9403341461e+01,1.9144005206e+01
580.000000,2.2569406139e-01,1.4339532570e+01,1.4113838509e+01
590.000000,1.9723721995e-01,1.0802422032e+01,1.0605184812e+01
600.000000,1.7341251752e-01,8.3451625319e+00,8.1717500144e+00
610.000000,1.5365153157e-01,6.5886996575e+00,6.4350481259e+00
620.000000,1.3727921705e-01,5.2683894717e+00,5.1311102547e+00
630.000000,1.2359415053e-01,4.2332051877e+00,4.1096110372e+00
640.000000,1.1194728224e-01,3.4241893285e+00,3.3122420462e+00
650.000000,1.0188055391e-01,2.8053442433e+00,2.7034636894e+00
660.000000,9.3068692850e-02,2.3515860938e+00,2.2585174009e+00
670.000000,8.5281760707e-02,2.0375459838e+00,1.9522642231e+00
680.000000,7.8367176730e-02,1.8221140895e+00,1.7437469127e+00
690.000000,7.2203550188e-02,1.6705214934e+00,1.5983179432e+00
700.000000,6.6689167534e-02,1.5569873550e+00,1.4902981874e+00
710.000000,6.1736232004e-02,1.4626598273e+00,1.4009235953e+00
720.000000,5.7270489590e-02,1.3796337451e+00,1.3223632555e+00
730.000000,5.3228509412e-02,1.3069651411e+00,1.2537366317e+00
740.000000,4.9557308291e-02,1.2440149836e+00,1.1944576753e+00
750.000000,4.6212209361e-02,1.1901862790e+00,1.1439740697e+00
