wavelength_nm,scattering,extinction,absorption
450.000000,7.1017316168e+01,3.5288431145e+02,2.8186699528e+02
460.000000,6.9623038943e+01,3.2784220304e+02,2.5821916410e+02
470.000000,6.8271687659e+01,2.9981814268e+02,2.3154645502e+02
480.000000,6.7347905800e+01,2.5989982790e+02,1.9255192210e+02
490.000000,6.7309360068e+01,2.0847339389e+02,1.4116403382e+02
500.000000,6.8582376982e+01,1.4807448352e+02,7.9492106542e+01
510.000000,7.1061775359e+01,8.4008100500e+01,1.2946325141e+01
520.000000,7.4061294395e+01,2.8307877227e+01,-4.5753417168e+01
530.000000,7.6995507144e+01,-7.0328224386e+00,-8.4028329583e+01
540.000000,7.9729439923e+01,-2.5959991254e+01,-1.0568943118e+02
550.000000,8.2259954236e+01,-3.8624103794e+01,-1.2088405803e+02
560.000000,8.4584312158e+01,-5.2507464821e+01,-1.3709177698e+02
570.000000,8.6748081639e+01,-6.6970298147e+01,-1.5371837979e+02
580.000000,8.8811241421e+01,-8.0004796607e+01,-1.6881603803e+02
590.000000,9.0827806602e+01,-8.9866009581e+01,-1.8069381618e+02
600.000000,9.2779775569e+01,-9.6923045544e+01,-1.8970282111e+02
610.000000,9.4614547834e+01,-1.0253388335e+02,-1.9714843119e+02
620.000000,9.6278863177e+01,-1.0807082194e+02,-2.0434968512e+02
630.000000,9.7749550984e+01,-1.1416590473e+02,-2.1191545572e+02
640.000000,9.9053317892e+01,-1.2023052663e+02,-2.1928384453e+02
650.000000,1.0022211086e+02,-1.2556482866e+02,-2.2578693952e+02
660.000000,1.0128813362e+02,-1.2947191970e+02,-2.3076005333e+02
670.000000,1.0227861686e+02,-1.3148317636e+02,-2.3376179322e+02
680.000000,1.0320377464e+02,-1.3190615571e+02,-2.3510993035e+02
690.000000,1.0406981057e+02,-1.3121933103e+02,-2.3528914160e+02
700.000000,1.0488247763e+02,-1.2990566637e+02,-2.3478814401e+02
710.000000,1.0564710060e+02,-1.2843616374e+02,-2.3408326434e+02
720.000000,1.0636876604e+02,-1.2700568125e+02,-2.3337444729e+02
730.000000,1.0705249361e+02,-1.2556815197e+02,-2.3262064558e+02
740.000000,1.0770319312e+02,-1.2406963402e+02,-2.3177282715e+02
750.000000,1.0832564486e+02,-1.2245636605e+02,-2.3078201091e+02
